variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
"a_fit[19,43,1]",32.962407302652664,37.6535,32.56816825583059,52.926499731,-1.6558259999999917e-14,72.59370999999999,1.7333437997710126,6.095903203604024,86.75041586798106
"a_fit[20,43,1]",32.02718449754449,27.93325,31.664621398180294,41.41383645002831,1.202729800000029e-24,68.38897,1.757101308735098,6.031361997144138,61.88566890803499
"a_fit[21,43,1]",33.204048696763316,41.6149,32.83630427416588,51.098112932999996,-4.521325999999947e-16,72.187035,1.742073192494127,6.0767105233919505,68.06403317790878
"a_fit[22,43,1]",30.50859727980692,23.54965,29.91955743721052,34.914711090024205,-2.6245684999999952e-14,65.57677500000001,1.7339815565088557,6.122053043076485,95.4572835496547
"a_fit[23,43,1]",39.37726072045607,28.6581,39.03195616848265,42.48849906006613,-8.1879804999985e-17,84.24969999999999,1.7413852412072957,6.10277406409404,119.18303554213213
"a_fit[24,43,1]",45.25844015099344,61.0734,44.54701379501451,58.56284826,-1.5488194999999988e-13,96.235495,1.8823030131327034,5.675150309556213,30.768661198812463
"a_fit[25,43,1]",40.30796716805143,31.88915,39.68346891473383,47.27885379007044,8.966187500000025e-18,85.5068,1.7405644976311763,6.091109133707797,102.43634434324225
"a_fit[26,43,1]",43.89341994415152,31.427750000000003,43.24370911058216,46.59478215014372,-3.6646029999999975e-15,93.08897499999999,1.7502325563987235,6.052567858457275,66.79154805137142
"a_fit[27,43,1]",41.87889100898626,47.87235,41.49235556769993,64.90733844,4.31489200000011e-20,89.20198500000001,1.7368841278188847,6.115888893046907,127.54750481077745
"a_fit[28,43,1]",42.696469554197904,35.7077,42.4319701509923,52.940236020097316,-6.9892129999999875e-15,91.43310500000001,1.7413767294155897,6.0988365208713144,81.39701493093769
"a_fit[29,43,1]",58.287386025216215,88.77125000000001,56.56864923101716,61.784019149999985,-1.0860314999999999e-13,123.82515,1.7953215334663635,5.909034805957004,43.7209310809023
"a_fit[30,43,1]",36.81059413122876,50.05595,36.41828619057546,50.99810415,-7.463021999999996e-15,78.84464,1.737819035233811,6.119844448954963,73.92395106386361
"a_fit[31,43,1]",45.58950445081035,55.053650000000005,45.16271846076108,69.15417200999998,-7.664543499999981e-14,97.57722999999999,1.7604886695543924,6.045197371937274,47.2885608003145
"a_fit[32,43,1]",33.90196983689762,26.26175,33.44493641993804,38.93567055001417,-2.50727649999997e-17,72.350305,1.7557754532311023,6.040397058756793,55.41390175060626
"a_fit[1,44,1]",28.611116983175002,8.553415000000001,28.18516235395599,12.648221906880002,0.18596845000000004,67.032475,1.9241098901767102,5.592543374042655,39.57693298525901
"a_fit[2,44,1]",35.465631947343006,34.5012,34.95089602256966,51.15147880179104,-3.264343999999999e-13,75.901045,1.7455426205080968,6.060619660983867,62.20375973963774
"a_fit[3,44,1]",35.07811658678291,26.5764055,35.14706566393381,39.40217866844957,1.00383e-4,74.332755,1.7358463461516038,6.097151135383612,94.01670599188635
"a_fit[4,44,1]",43.67487013383651,37.1757895,43.74894366280526,55.11682551299615,1.8252110000000045e-15,91.910905,1.773612255808332,5.977626634963469,62.34177555016989
"a_fit[5,44,1]",20.67462933549842,16.9350059,20.727772963277026,25.107839747687194,-1.0792834999999996e-12,43.903749999999995,1.751682992700151,6.054055587189037,80.32012768102693
"a_fit[6,44,1]",40.8145733822698,38.9576,40.784847945731485,57.75853775999456,-4.039879999999867e-16,87.06732,1.7551660453633415,6.058807881528274,69.72980041217711
"a_fit[7,44,1]",21.964227420958412,12.63782865,22.32780192152064,18.736844756498556,-5.062036999999992e-15,51.182865,1.938047768870961,5.554616395210714,33.22921229132067
"a_fit[8,44,1]",40.17860613170264,32.11525556395,40.309632071201285,47.61407789946395,-2.1378814999999993e-11,86.23468999999999,1.7805970835846845,5.977640961204761,52.073937879044664
"a_fit[9,44,1]",23.4846036556485,17.33437,23.47368043522003,25.6989778725078,0.017792025,50.358515000000004,1.7687425301921225,5.9821922040459174,88.61416532216118
"a_fit[10,44,1]",38.400508733998294,43.61605,37.848618626902336,59.83284341999999,-1.0423679999999997e-14,82.23269499999999,1.7807871429056599,5.943002944071413,42.057149801201604
"a_fit[11,44,1]",20.04251193465645,7.856439999999999e-5,34.7627256403216,1.1634037456775996e-4,4.633998e-8,83.22738,1.7181688458190592,6.161225186206897,31.102707984653925
"a_fit[12,44,1]",36.05129294475,12.146,33.272248556670135,17.5225106259,1.19809,76.06335999999999,1.8073761893912963,5.864877947359779,57.73241723458087
"a_fit[13,44,1]",36.37386916175732,26.432676,36.525055074735555,39.189084820600286,1.3960290000000005e-4,78.49971,1.7552790690408526,6.022728709073985,125.06668047656686
"a_fit[14,44,1]",21.426559454604217,15.382322,21.60476226626993,22.805830483954935,1.6550530000000002e-5,47.872035,1.8295586796423302,5.8064361335416255,46.92949884021686
"a_fit[15,44,1]",29.72633535300553,24.7162737,29.792118211930568,36.64434738779203,6.377333e-9,62.931585,1.74949091895936,6.037940759782225,66.23289964886483
